WKT,nombre,descripción
"-100.3331448,25.6857094","Punto,1",
"-100.3332735,25.6842011","Punto,2",
"-100.3334881,25.6824607","Punto,3",
"-100.3337885,25.6810683","Punto,4",
"-100.334046,25.6797533","Punto,5",
"-100.3342606,25.678361","Punto,6",
"-100.334561,25.6767752","Punto,7",
"-100.3348185,25.6753055","Punto,8",
"-100.3351189,25.673913","Punto,9",
"-100.3352906,25.672714","Punto,10",
"-100.335591,25.6714376","Punto,11",
"-100.3358914,25.6700838","Punto,12",
"-100.3361489,25.6686913","Punto,13",
"-100.3364922,25.6672215","Punto,14",
"-100.3357626,25.6664479","Punto,15",
"-100.3338314,25.6657903","Punto,16",
"-100.3312565,25.6654421","Punto,17",
"-100.3276516,25.6646298","Punto,18",
"-100.320871,25.6634307","Punto,19",
"-100.3245617,25.6642043","Punto,20",
"-100.3175665,25.6630052","Punto,21",
"-100.314777,25.6625023","Punto,22",
"-100.3116871,25.6617287","Punto,23",
"-100.309198,25.6617287","Punto,24",
"-100.3065373,25.6621929","Punto,25",
"-100.3038765,25.6633533","Punto,26",
"-100.3013016,25.665094","Punto,27",
"-100.2976109,25.6665252","Punto,28",
"-100.2963234,25.6734876","Punto,29",
"-100.2967097,25.671631","Punto,30",
"-100.2968813,25.6699291","Punto,31",
"-100.2957655,25.6770459","Punto,32",
"-100.2953364,25.6804882","Punto,33",
"-100.2961053,25.6754609","Punto,35",
"-100.2947785,25.6836209","Punto,36",
"-100.295036,25.6820353","Punto,37",
"-100.2946068,25.6856514","Punto,38",
"-100.298083,25.6861928","Punto,39",
"-100.2955939,25.6787671","Punto,40",
"-100.2991558,25.6660417","Punto,41",
"-100.2972676,25.6684786","Punto,42",
"-100.2964233,25.6858964","Punto,43",
"-100.3330301,25.6873273","Punto,44",
"-100.3328584,25.6887583","Punto,45",
"-100.3317856,25.689377","Punto,46",
"-100.3303264,25.689261","Punto,47",
"-100.3286527,25.6891837","Punto,48",
"-100.326979,25.689029","Punto,49",
"-100.3251337,25.688913","Punto,50",
"-100.3230308,25.6887583","Punto,51",
"-100.3214,25.6886422","Punto,52",
"-100.3001999,25.6862831","Punto,53",
"-100.3022598,25.6864765","Punto,54",
"-100.3046201,25.6867472","Punto,55",
"-100.3071951,25.6869793","Punto,56",
"-100.30977,25.6872886","Punto,57",
"-100.3123449,25.687598","Punto,58",
"-100.3148769,25.6879074","Punto,59",
"-100.3171943,25.6882168","Punto,60",
"-100.319383,25.6883328","Punto,61",
